# gender | sg nom. | sg gen. | sg dat. | sg acc. | pl nom. | pl gen. | pl dat. | pl acc. | translations (comma-separated) | topics (comma-separated)
N | Gepäck | Gepäckes/Gepäcks | Gepäck/Gepäcke | Gepäck | - | - | - | - | Luggage,Baggage,Багаж | A1,Путешествия
F | Abfahrt | Abfahrt | Abfahrt | Abfahrt | Abfahrten | Abfahrten | Abfahrten | Abfahrten | Start,Departure,Slope,Descent,Отправление,Отъезд | A1,Путешествия
M | Abflug | Abfluges/Abflugs | Abflug/Abfluge | Abflug | Abflüge | Abflüge | Abflügen | Abflüge | Departure,Takeoff,Migration,Вылет | A1,Путешествия
F | Ankunft | Ankunft | Ankunft | Ankunft | Ankünfte | Ankünfte | Ankünften | Ankünfte | Arrival,Advent,Прибытие | A1,Путешествия
N | Ausland | Auslandes/Auslands | Ausland/Auslande | Ausland | - | - | - | - | Foreign country,Overseas,Заграница | A1,Путешествия
M | Ausländer | Ausländers | Ausländer | Ausländer | Ausländer | Ausländer | Ausländern | Ausländer | Alien,Foreigner | A1,Путешествия
N | Hotel | Hotels | Hotel | Hotel | Hotels | Hotels | Hotels | Hotels | Hotel,Отель | A1,Путешествия
F | Rezeption | Rezeption | Rezeption | Rezeption | Rezeptionen | Rezeptionen | Rezeptionen | Rezeptionen | Reception desk | A1,Путешествия
N | Doppelzimmer | Doppelzimmers | Doppelzimmer | Doppelzimmer | Doppelzimmer | Doppelzimmer | Doppelzimmern | Doppelzimmer | Twin room,Комната на двоих в отеле | A1,Путешествия
N | Einzelzimmer | Einzelzimmers | Einzelzimmer | Einzelzimmer | Einzelzimmer | Einzelzimmer | Einzelzimmern | Einzelzimmer | Single room,Комната на одного в отеле | A1,Путешествия
F | Halbpension | Halbpension | Halbpension | Halbpension | - | - | - | - | Half board,Demi-oension,Полупансион | A1,Путешествия
F | Karte | Karte | Karte | Karte | Karten | Karten | Karten | Karten | Card,Map,Menu,Ticjet,Plan,Карта | A1,Путешествия
M | Ausflug | Ausfluges/Ausflugs | Ausflug/Ausfluge | Ausflug | Ausflüge | Ausflüge | Ausflügen | Ausflüge | Outing,Excursion,Trip,Tour | A1,Путешествия
M | Plan | Planes/Plans | Plan/Plane | Plan | Pläne | Pläne | Plänen | Pläne | План,Plan,Map,Blueprint,Plain,Schedule,Scheme,Project | A1,Путешествия
F | Eile | Eile | Eile | Eile | - | - | - | - | Спешка,Rush,Hurry,Haste,Hastiness | A1,Путешествия
F | Sehenswürdigkeit | Sehenswürdigkeit | Sehenswürdigkeit | Sehenswürdigkeit | Sehenswürdigkeiten | Sehenswürdigkeiten | Sehenswürdigkeiten | Sehenswürdigkeiten | Достопримечательность,Sight,Monument,Attraction | A1,Путешествия
N | Auto | Autos | Auto | Auto | Autos | Autos | Autos | Autos | Car,Resolution,Order | A1,Транспорт и техника
F | Autobahn | Autobahn | Autobahn | Autobahn | Autobahnen | Autobahnen | Autobahnen | Autobahnen | Highway,Freeway,Скоростная трасса | A1,Транспорт и техника
N | Taxi | Taxis | Taxi | Taxi | Taxis | Taxis | Taxis | Taxis | Cab,Taxi | A1,Транспорт и техника
M | Fahrer | Fahrers | Fahrer | Fahrer | Fahrer | Fahrer | Fahrern | Fahrer | Driver,Rider | A1,Транспорт и техника
M | Bus | Busses | Bus | Bus | Busse | Busse | Bussen | Busse | Bus,Coach | A1,Транспорт и техника
F | Haltestelle | Haltestelle | Haltestelle | Haltestelle | Haltestellen | Haltestellen | Haltestellen | Haltestellen | Stop,Station,Halt,Остановка общ. транспорта | A1,Транспорт и техника
F | Bahn | Bahn | Bahn | Bahn | Bahnen | Bahnen | Bahnen | Bahnen | Train,Way,Railway,Железная дорога | A1,Транспорт и техника
F | Straßenbahn | Straßenbahn | Straßenbahn | Straßenbahn | Straßenbahnen | Straßenbahnen | Straßenbahnen | Straßenbahnen | Tram,Tramway,Tramline,Трамвай | A1,Транспорт и техника
M | Zug | Zuges/Zugs | Zug/Zuge | Zug | Züge | Züge | Zügen | Züge | Train,Traction,Breath,Поезд | A1,Транспорт и техника
M | Bahnhof | Bahnhofes/Bahnhofs | Bahnhof/Bahnhofe | Bahnhof | Bahnhöfe | Bahnhöfe | Bahnhöfen | Bahnhöfe | Railway station,Вокзал | A1,Транспорт и техника
M | Bahnsteig | Bahnsteiges/Bahnsteigs | Bahnsteig/Bahnsteige | Bahnsteig | Bahnsteige | Bahnsteige | Bahnsteigen | Bahnsteige | Platform,Track,Departure platform,Ж/Д платформа | A1,Транспорт и техника
N | Gleis | Gleises | Gleis/Gleise | Gleis | Gleise | Gleise | Gleisen | Gleise | Rail track,Rail,Ж/Д путь | A1,Транспорт и техника
N | Flugzeug | Flugzeuges/Flugzeugs | Flugzeug/Flugzeuge | Flugzeug | Flugzeuge | Flugzeuge | Flugzeugen | Flugzeuge | Самолет,Plane | A1,Транспорт и техника
M | Flughafen | Flughafens | Flughafen | Flughafen | Flughäfen | Flughäfen | Flughäfen | Flughäfen | Airport,Аэропорт | A1,Транспорт и техника
N | Fahrrad | Fahrrades/Fahrrad | Fahrrad/Fahrrade | Fahrrad | Fahrräder | Fahrräder | Fahrrädern | Fahrräder | Bicycle,Велосипед | A1,Транспорт и техника
M | Lastkraftwagen (Lkw) | Lastkraftwagens | Lastkraftwagen | Lastkraftwagen | Lastkraftwagen/Lastkraftwägen | Lastkraftwagen/Lastkraftwägen | Lastkraftwagen/Lastkraftwägen | Lastkraftwagen/Lastkraftwägen | Lorry,Truck,Грузовик | A1,Транспорт и техника
